time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2019-03-27 21:53:38.083 UTC, , , , , , , , , ,125,2688033,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,13599600640,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1553723617349,,, , , , , , , , , ,2673867,1377,64,64,35,64, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , ,2,210,39,106,17467848,2, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-27 22:25:32.486 UTC, , , , , , , , , ,125,2687017,13024, , ,3, ,21,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,18,10, , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,13581651968,57,57,57,57, , , , , ,1,23, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1553725531959,,, , , , , , , , , ,2673867,1377, , , , , , ,17, , ,2, , ,3, , ,17, ,2048,1, , , , , ,98828,28, , , , , , ,2,131,45,121,15138944,1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-27 22:25:39.114 UTC, , , , , , , , , ,125,2687017,13024, , ,3, ,21,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,18,10, , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,13581651968,57,57,57,57, , , , , ,1,23, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1553725538497,,, , , , , , , , , ,2673867,1377, , , , , , ,17, , ,2, , ,3, , ,17, ,2048,1, , , , , ,98828,28, , , , , , ,4,317,39,191,16823696,1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-27 22:26:39.121 UTC, , , , , , , , , ,589,2904105,229648, , ,9, ,144, , , , , , , , , ,9,9, , , ,1,2,12, ,5, , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,13581623296,82,82,82,82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1553725538497,,, , , , , , , , , ,2673867,228569, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , ,11,474, , ,22085544,2, , , , , , ,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,39, , ,5,88,5, , , , , , , , , 
2019-03-27 22:31:19.696 UTC, , , , , , , , , ,125,2687017,13024, , ,3, ,21,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,18,10, , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,13581611008,57,57,57,57, , , , , ,1,23, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1553725879192,,, , , , , , , , , ,2673867,1377, , , , , , ,17, , ,2, , ,3, , ,17, ,2048,1, , , , , ,98828,28, , , , , , ,2,196,43,183,16736904,2, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-27 22:31:54.097 UTC, , , , , , , , , ,125,2687017,13024, , ,3, ,21,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,18,10, , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,13581594624,57,57,57,57, , , , , ,1,23, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1553725913464,,, , , , , , , , , ,2673867,1377, , , , , , ,17, , ,2, , ,3, , ,17, ,2048,1, , , , , ,98828,28, , , , , , ,4,258,37,123,17678912,2, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-27 22:32:11.199 UTC, , , , , , , , , ,125,2687017,13024, , ,3, ,21,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,18,10, , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,13581578240,57,57,57,57, , , , , ,1,23, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1553725930600,,, , , , , , , , , ,2673867,1377, , , , , , ,17, , ,2, , ,3, , ,17, ,2048,1, , , , , ,98828,28, , , , , , ,3,275,38,122,19377296,2, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-27 22:32:22.391 UTC, , , , , , , , , ,125,2687017,13024, , ,3, ,21,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,18,10, , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,13581561856,57,57,57,57, , , , , ,1,23, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1553725941663,,, , , , , , , , , ,2673867,1377, , , , , , ,17, , ,2, , ,3, , ,17, ,2048,1, , , , , ,98828,28, , , , , , ,3,291,42,153,17685904,2, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-03-27 22:33:22.396 UTC, , , , , , , , , ,589,2732321,57080,784, ,6, ,29, , , , , , , , , ,6,6, , , ,1,1,9, ,4, , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,13581316096,45,45,45,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1553725941663,,, , , , , , , , , ,2673867,59787, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,2,4,16648504,2, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,4,3,4, , , , , , , , , 
2019-03-27 22:33:46.849 UTC, , , , , , , , , ,125,2687017,13024, , ,3, ,21,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,18,10, , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,13581316096,57,57,57,57, , , , , ,1,23, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1553726026203,,, , , , , , , , , ,2673867,1377, , , , , , ,17, , ,2, , ,3, , ,17, ,2048,1, , , , , ,98828,28, , , , , , ,4,298,41,145,16165584,2, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
